id,content
1,"Kas riik peaks pakkuma ettevõtetele abi, kui nad satuvad majanduslikesse raskustesse?"
2,Kas rohkem raha teenivad inimesed peaksid senisest suurema osa oma sissetulekust maksudeks maksma?
3,Kas riik peaks maksupoliitikaga reguleerima esmatarbekaupade hinnataset?
4,Kas inimesed peaksid rohkem ise vastutama vanaduspõlves hakkamasaamise eest?
5,Kas Eesti kodanikel peaks olema õigus läbi rahvahääletuste algatada ja vastu võtta seadusi?
6,"Kas isikuvabaduste piiramine on õigustatud, kui seda nõuavad riigi julgeoleku huvid?"
7,Kas Eesti ühiskond tervikuna on piisavalt tolerantne ja avatud?
8,"Kas sõnavabadust avalikus ruumis peaks piirama, kui see riivab mõne vähemuse tõekspidamisi?"
9,Kas majanduskasv ja uute töökohtade loomine on olulisem kui sellega kaasnev võimalik oht looduskeskkonnale?
10,Kas Eesti peaks seadma endale eesmärgiks lähema 25 aasta jooksul loobuda põlevkivi baasil toodetud elektrist?
11,Kas teenindussektoris töötavad inimesed (sh taksojuhid ja toidukullerid) peavad oskama esmasel tasemel eesti keelt?
12,Kas Eesti peaks olema multikultuurne ühiskond? 
13,Kas sündivuse suurendamiseks tuleks riigi poolt rakendada täiendavaid meetmeid?
14,Kas homoseksuaalsetel paaridel peaks olema õigus adopteerida lapsi?
15,Kas abielu peaks Eestis jääma mehe ja naise vaheliseks liiduks?
16,Kas abort on moraalselt õigustatud?
17,"Kas on õige, kui naine eelistab karjääri laste kasvatamisele ja perekonna eest hoolitsemisele?"
18,Kas sooline diskrimineerimine on Eestis probleem?
19,Kas Euroopa Liidul peaks olema praegusest rohkem võimu oma liikmesriikide üle?
20,Kas NATO on Eestile piisav julgeolekugarantii? 
21,Kas kohustuslik ajateenistus peaks laienema ka naistele?
22,Kas Eestis püsivalt elavatel Venemaa kodanikel peaks olema õigus hääletada kohalikel valmistel?
23,Kas majanduslikult kindlustatud inimesed peaksid saama riigipoolseid toetusi (nt lastetoetused)?
24,"Kas riik peaks endale kuuluvaid ettevõtteid või asutusi (nagu näiteks RMK, Elering, Elektrilevi, Tallinna Sadam või Eesti Energia) erastama?"
25,Kas valitsus peaks ka edaspidi hoidma Eesti laenukoormuse Euroopa Liidu madalaimal tasemel?
26,Kas Eestisse tuleks ehitada tuumajaam?
27,Kas Eestis peaks senisest enam arendama puidutööstust?
28,"Kas globaalne kliimamuutus on probleem, mille lahendamisse peaks Eesti senisest rohkem panustama?"
29,"Kas riigil peaks olema õigus ellu viia suurprojekte (nt. Rail Baltic, fosforiidi kaevandamine, tuumajaam, tselluloositehas) kohalike elanike vastuseisust hoolimata?"